公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1457,宜進,46.23,209.68,144.72,112.66,2.38,6.2,58.87,9.33,39.12,1.24,0.54,2.04,2.43,3.23,2.32,0.34,12.45,16.12,2.99
1459,聯發,47.48,177.33,163.89,146.82,545.68,8.52,42.84,10.1,36.13,1.23,0.54,2.88,4.36,5.8,4.35,0.56,24.02,17.11,4.86
1460,宏遠,46.33,164.07,176.68,55.48,13.6,9.28,39.33,1.92,190.1,2.49,0.92,4.63,8.08,9.33,4.58,0.85,20.58,78.88,5.17
1463,強盛,37.84,521.9,197.81,118.88,108.73,4.04,90.34,0.49,744.89,1.3,0.16,2.71,4.28,5.97,16.72,0.63,-6.27,15.01,-3.92
1464,得力,53.1,144.17,118.4,66.47,26.84,5.79,63.03,2.86,127.62,2.13,0.71,13.65,31.68,41.43,15.75,4.14,10.43,39.87,5.06
1465,偉全,18.04,272.44,448.01,290.06,3720.21,7.87,46.37,2.83,128.97,3.86,0.91,5.5,8.74,16.61,5.8,1.04,9.97,91.99,0.1
1466,聚隆,44.79,205.3,220.42,102.47,6.65,10.11,36.1,4.81,75.88,4.05,1.46,1.98,3.14,5.82,1.08,0.52,15.87,52.26,1.59
1467,南緯,56.75,234.85,194.78,124.88,2.82,7.21,50.62,4.22,86.49,3.4,0.99,1.47,2.33,5.92,0.89,0.57,0,39.09,-0.67
1468,昶和,50.17,180.36,221.44,58.42,-1.3,8.74,41.76,0.59,618.64,0.56,0.24,-1.71,-5.47,-4.14,-11.29,-0.36,4.6,-195.45,0.74
1470,大統新創,15.1,255.34,459.49,321.85,*****,4.47,81.65,3.54,103.1,2.01,0.69,6.14,7.14,9.35,8.92,0.77,59.59,80.25,4.08
1471,首利,23.7,231.18,219.97,185.12,-19.93,5.25,69.52,11.64,31.35,3.11,1.07,-2.11,-2.96,-3.43,-2.04,-0.39,17.92,52.72,3.26
1472,三洋紡,67.71,57.57,59.65,37.89,NA,8.98,40.64,4.68,77.99,1.64,0.95,-5.05,-18.99,-8.92,-6.59,-0.89,-3.72,22.68,1.58
1473,台南,45.21,491.52,210.06,142.21,0.32,6.22,58.68,2.97,122.89,7.33,1.07,5.47,3.37,-2.28,1.54,0.97,6.06,18.13,-3.02
1474,弘裕,48.25,178.43,131.24,72,5.97,5.4,67.59,3.7,98.64,3.25,1.02,2,3.22,5.68,1.61,0.44,12.79,39.35,6.29
1475,本盟,63.68,62.9,42.83,20.76,NA,5.26,69.39,4.39,83.14,0.54,0.35,-10.2,-16.24,-8.01,-19.02,-0.79,NA,NA,NA
1476,儒鴻,36.5,150.1,158.98,96.33,13081.03,8.32,43.87,4.85,75.25,3.61,1.52,22.05,34.15,143.24,14.41,11.51,61.97,80.8,11.48
1477,聚陽,31.44,191.8,197.96,121.14,57.58,25.92,14.08,5.83,62.6,4.92,1.89,15.72,25.17,109.7,8.16,9.62,38.49,59.56,0.82
1503,士電,36.9,184.1,145.4,87.1,41.6,3.4,107.35,3.3,110.6,1.43,0.59,4.05,6.29,31.82,6.73,2.43,11.5,88.5,0.7
1504,東元,35.76,381.01,238.59,170.66,25.52,5.15,70.87,3.28,111.28,3.6,0.67,5.32,8.84,27.31,7.56,2.06,26.38,117.23,3.85
1506,正道,42.8,120.37,154.21,75.32,1.59,4.1,89.02,2.77,131.76,1.36,0.67,0.87,0.56,0.75,0.48,0.11,7.56,48.94,1.86
1507,永大,62.21,244.13,125.15,59.94,47815.9,5.64,64.71,1.6,228.12,4.41,0.78,6.71,18.46,70.2,8.61,4.95,12.82,76.29,7.82
1512,瑞利,68.47,123.59,110.98,65.69,-100.31,3.04,120.06,4.21,86.69,1.5,0.67,-2.79,-11.9,-9.64,-5.83,-1.3,5.66,45.48,2.3
1513,中興電,45.76,270.38,165.16,90.39,44.96,6.82,53.51,2.21,165.15,3.27,0.8,4.87,8.59,20.41,5.97,1.5,13.73,67.24,2.06
1514,亞力,42.15,272.6,180.05,130.76,15.29,2.17,168.2,3.92,93.11,3.4,0.72,2.55,4.14,5.76,3.26,0.55,1.71,75.19,NA
1515,力山,58.59,125.64,103.37,81.28,4.87,3.95,92.4,5.07,71.99,1.93,0.66,3.33,6.13,9.56,4.05,0.81,2.75,21.06,NA
1516,川飛,32.35,183.24,75.28,75.28,17.91,146.43,2.49,0,*****,2.65,0.8,13.01,17.15,12.39,15.62,1.61,25.84,40.12,6.67
1517,利奇,31.27,312.93,386.72,310.84,*****,3.28,111.28,4.37,83.52,2.52,0.67,4.59,6.73,16,6.82,1.01,29.27,66.29,3.34
1519,華城,52.83,251.54,170.32,99.43,19.24,2.79,130.82,2.5,146,3.44,0.77,4.5,8.53,12.47,5.1,1,-0.35,60.61,-1.71
1521,大億,50.44,197.81,137.85,83.1,565.63,5.19,70.32,6.81,53.59,5.11,1.5,11.34,22.7,59.48,7.53,4.9,25.84,87.79,2.81
1522,堤維西,68.47,142.47,108.43,54,6.32,4.22,86.49,4.4,82.95,2.24,0.91,4.39,11.96,32.08,4.09,1.64,15.95,67.62,7.95
1524,耿鼎,57.58,107.65,105.63,60.45,118.32,5.41,67.46,4.39,83.14,0.77,0.51,0.84,0.32,0.89,0.27,0.04,34.66,121.77,12.35
1525,江申,18.68,680.98,152.48,119.05,1197,5.66,64.48,7.59,48.08,2.38,0.33,8.8,10.83,51.46,26.95,4.62,103.24,99.17,8.88
1526,日馳,48.52,201.09,253.63,121.89,12.58,4.87,74.94,1.88,194.14,1.87,0.74,5.71,10.64,12.2,7.18,1.09,25.22,123.46,5.47
1527,鑽全,75.88,393.92,123.84,51.11,12.32,5.63,64.83,3.24,112.65,3.11,0.25,8.25,32.87,76.19,30.79,6.31,7.65,139.48,0.65
1528,恩德,55.34,268,185,107.84,2.27,2.58,141.47,2.1,173.8,3.27,0.72,0.96,0.77,2.89,0.49,0.12,10.62,34,2.97
1529,樂士,20.19,671.05,118.14,98.55,-693.23,3.77,96.81,0.79,462.02,1.13,0.17,-10.29,-14.12,-0.94,-62.48,-0.25,-13.86,-116.94,-2.48
1530,亞崴,58.35,158.06,132.95,75.5,16.02,3.14,116.24,1.89,193.12,2.34,0.69,5.28,11.31,39.33,7.15,2.97,2.84,47.35,-2.41
