"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投資比率(%)"
"2538","基泰",55.16,261.57,179.20,41.72,0.68,27.66,13.19,0.04,9125.00,0.15,0.04,-0.05,-1.12,-0.77,-14.32,-0.23,-0.84,63.88,-5.52
"2539","櫻花建",38.92,10386.37,373.99,44.50,16.04,152.38,2.39,0.27,1351.85,53.17,0.38,11.14,19.16,31.24,29.20,2.84,34.22,16.15,7.49
"2540","愛山林",59.68,698.03,191.39,25.63,4.15,3.82,95.54,0.07,5214.28,1.38,0.12,3.63,6.66,22.89,22.48,1.78,-50.06,-119.71,-44.69
"2542","興富發",65.16,2172.11,182.15,30.18,16.41,22.42,16.28,0.27,1351.85,14.22,0.31,6.83,18.62,67.35,20.73,5.57,2.32,33.48,-12.70
"2543","皇昌",47.85,443.49,189.69,118.25,7.87,4.15,87.95,2.75,132.72,7.01,0.85,2.21,3.92,4.71,2.31,0.47,27.04,"NA",13.89
"2545","皇翔",68.88,11525.73,127.47,9.34,5.01,83.07,4.39,0.38,960.52,84.42,0.33,5.42,18.35,72.60,14.74,6.01,36.86,96.42,36.28
"2546","根基",59.38,3548.18,159.38,130.64,2123.38,4.10,89.02,0.87,419.54,129.21,1.60,3.94,9.51,23.62,2.46,1.93,7.11,90.89,5.22
"2547","日勝生",87.54,298.81,98.29,20.58,-3.24,5.11,71.42,0.04,9125.00,0.41,0.04,-5.96,-42.82,-54.12,-147.46,-5.56,0.00,41.41,0.00
"2548","華固",55.80,153238.80,191.49,23.18,6468.00,"NA","NA","NA","NA",729.92,0.33,6.91,16.43,103.98,20.64,8.73,31.81,-1117.32,25.10
"2597","潤弘",47.50,219.53,119.37,89.05,4881.66,3.51,103.98,0.31,1177.41,2.77,0.80,6.71,12.90,63.25,8.16,4.50,44.62,21.80,11.45
"2601","益航",70.25,170.79,102.88,96.91,-28.80,15.09,24.18,7.44,49.05,0.56,0.20,-1.84,-8.16,-14.90,-12.60,-2.93,7.19,51.90,2.49
"2603","長榮",71.73,148.51,128.42,118.34,-6.07,10.32,35.36,"NA","NA",1.20,0.65,-3.94,-14.90,-25.08,-6.88,-1.88,-1.83,73.34,-0.36
"2605","新興",27.43,116.97,226.34,222.71,658.00,10.56,34.56,"NA","NA",17.25,13.27,3.79,4.77,13.39,25.38,1.06,93.38,161.04,8.20
"2606","裕民",57.75,163.45,194.73,191.77,-0.59,15.94,22.89,"NA","NA",0.22,0.11,-0.71,-3.37,-10.10,-13.48,-1.04,15.98,37.85,1.83
"2607","榮運",35.42,123.58,205.17,202.21,7.33,8.38,43.55,"NA","NA",0.29,0.22,2.77,3.73,9.49,10.83,0.76,96.84,51.58,4.15
"2608","嘉里大榮",38.71,108.28,97.90,92.39,103.19,6.13,59.54,3.49,104.58,1.00,0.74,10.27,16.02,32.89,13.76,2.68,32.39,133.33,-0.07
"2609","陽明",88.03,102.98,59.43,52.21,-6.89,16.12,22.64,"NA","NA",1.35,0.85,-9.10,-62.03,-52.24,-12.90,-9.22,-25.37,1.05,-7.66
"2610","華航",74.22,111.24,69.00,53.16,265.40,17.67,20.65,"NA","NA",1.05,0.63,0.80,1.20,3.44,0.50,0.10,25.71,251.61,4.83
"2611","志信",39.70,218.50,130.28,124.83,-1.15,4.66,78.32,26.44,13.80,0.89,0.27,-0.90,-2.40,-3.66,-5.38,-0.37,0.06,416.42,-0.75
"2612","中航",51.92,120.54,122.84,120.96,175.45,12.12,30.11,"NA","NA",0.23,0.15,0.89,0.45,6.58,1.46,0.21,23.62,59.65,3.84
"2613","中櫃",51.87,113.89,86.18,75.44,2.82,5.84,62.50,"NA","NA",0.61,0.42,1.12,1.64,4.10,1.79,0.53,-27.40,22.80,-4.29
"2614","東森",45.93,277.65,142.18,127.00,123.39,22.05,16.55,49.30,7.40,4.29,0.78,2.65,0.82,1.28,0.40,0.35,166.18,150.37,94.73
"2615","萬海",55.05,139.43,189.34,179.70,3.88,25.07,14.55,"NA","NA",1.28,0.73,2.02,3.27,6.76,2.00,0.51,26.66,98.28,1.30
"2616","山隆",48.00,180.97,88.00,78.89,26.00,16.70,21.85,73.76,4.94,5.98,2.38,6.23,11.61,35.09,2.34,3.09,29.00,91.00,13.00
"2617","台航",30.22,130.91,237.72,211.23,-0.96,15.27,23.90,"*****","*****",0.26,0.18,-0.46,-0.92,-1.64,-3.70,-0.22,122.24,59.54,2.34
"2618","長榮航",72.74,123.83,111.38,94.07,450.50,"NA","NA","NA","NA",1.21,0.70,2.64,6.93,13.07,2.73,0.86,33.97,113.29,8.61
"2630","亞航",34.86,213.61,265.03,179.48,45.69,4.17,87.52,6.42,56.85,3.71,1.25,9.17,14.19,22.05,7.15,1.85,17.53,57.66,3.76
"2633","台灣高鐵",86.76,675892.93,144.98,130.55,1.60,106.84,3.41,"NA","NA",596.20,0.08,2.29,6.84,8.88,10.22,0.74,29.93,310.89,19.66
"2634","漢翔",60.15,159.00,123.97,61.94,21.37,3.85,94.80,2.26,161.50,3.91,0.91,7.32,17.43,28.56,7.62,2.29,27.47,119.13,13.02
"2636","台驊投控",50.44,891.44,172.88,170.82,9.67,6.22,58.68,"NA","NA",29.92,2.04,3.18,5.48,18.96,1.24,1.11,0.43,104.00,"NA"
"2637","慧洋-KY",66.30,93.43,24.88,22.29,2.20,67.92,5.37,88.45,4.12,0.13,0.12,3.02,4.81,25.29,13.11,2.69,48.25,44.36,4.50
"2642","宅配通",27.59,498.45,269.40,264.62,"NA",6.91,52.82,17.38,21.00,7.75,1.19,3.76,5.12,10.60,3.15,0.87,25.04,104.87,4.23
"2701","萬企",12.92,2140.65,1134.00,1132.87,"NA",6.10,59.83,"NA","NA",1.03,0.05,4.61,5.29,10.25,95.34,0.86,131.03,200.67,0.99
"2702","華園",75.84,106.77,69.96,69.37,261.76,34.55,10.56,38.61,9.45,0.42,0.30,2.61,5.02,11.25,4.42,0.62,32.45,161.84,8.30
